School_Year,School Authority Category,School Authority Name,School Authority Code,School Name,School Code,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father James Whelihan,8729,41,35,46,35,51,47,52,120,106,114,,,,647
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father Scollen School,8730,60,34,23,17,15,12,24,132,99,104,,,,520
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Blessed Cardinal Newman,8731,78,83,78,60,67,80,83,95,103,106,,,,833
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Our Lady of Peace Elementary Junior High School,8732,32,48,46,48,49,69,54,99,95,134,,,,674
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop Grandin High School,8901,,,,,,,,,,,515,516,470,1501
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Francis High School,8902,,,,,,,,,,,592,480,463,1535
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father Lacombe School,8903,,,,,,,,,,,336,312,253,901
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Mary's High School,8904,,,,,,,,,,,355,342,247,944
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop Carroll High School,8905,,,,,,,,,,,367,390,401,1158
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Anne Academic Centre,8906,,,,2,1,,1,3,,6,108,371,1258,1750
2014_2015,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop McNally High School,8907,,,,,,,,,,,393,393,383,1169
2014_2015,Charter,Calgary Arts Academy Society,151,Calgary Arts Academy,1126,54,54,48,52,52,50,54,56,49,48,,,,517
2014_2015,Charter,Calgary Girls' School Society,152,Calgary Girls' School,1128,,,,,71,110,115,124,107,84,,,,611
2014_2015,Private,Calgary Chinese Cultural Centre Association,9370,Cultural Centre Chinese Learning Academy,35,,,,,,,,,,,,1,3,4
2014_2015,Private,Society For Treatment of Autism (Calgary Region),9879,Society for Treatment of Autism,212,36,,,,,,,,,,,,,36
2014_2015,Private,The PREP Program - A Calgary Society to Promote Education for Individuals with Down Syndrome,9894,The PREP Program,230,20,,,,,,,,,,,,,20
2014_2015,Private,Montessori School of Calgary,9925,Montessori School of Calgary,254,16,11,6,9,2,,2,,,,,,,46
2014_2015,Private,G.R.I.T. (Getting Ready for Inclusion Today) Calgary Society,9376,Getting Ready For Inclusion To,284,69,,,,,,,,,,,,,69
2014_2015,Private,Calgary French & International School Society,9632,Calgary French & International School,796,80,79,75,75,77,63,55,39,41,44,19,11,2,660
2014_2015,Private,The Calgary Society for Effective Education of Learning Disabled,9131,Calgary Academy Collegiate,1015,,,,,2,6,4,5,11,16,9,6,12,71
2014_2015,Private,Calgary Urban Project Society,155,One World Child Development Centre,1162,46,,,,,,,,,,,,,46
2014_2015,Private,Access International College (Calgary) Incorporated,178,Access International College (Calgary) Inc.,1271,,,,,,,,,,,,1,4,5
2014_2015,Private,Khalsa School Calgary Educational Foundation,207,Khalsa School Calgary Educational Foundation,1383,50,51,49,50,48,30,30,31,29,19,,,,387
2014_2015,Private,Aurora Learning Foundation (Calgary),211,Aurora Learning Calgary,1397,,,,,,,,2,2,,1,2,2,9
2014_2015,Private,"Maria Montessori Education Centre of Calgary, Ltd.",212,Maria Montessori School,1410,29,28,22,16,15,8,9,,,,,,,127
2014_2015,Private,Montessori Children's House Charity Foundation of Calgary,251,Montessori Children's House Academy Ltd #1,1586,8,,,,,,,,,,,,,8
2014_2015,Private,Montessori Children's House Charity Foundation of Calgary,251,Montessori Children's House Academy Ltd #2,1595,9,,,,,,,,,,,,,9
2014_2015,Private,Montessori Children's House Charity Foundation of Calgary,251,Montessori Children's House Academy Ltd #3,1596,14,,,,,,,,,,,,,14
2014_2015,Private,Muslim Community Foundation of Calgary,9337,Calgary Islamic School (Franklin Campus),1722,67,71,67,41,44,34,34,3,8,11,,,,380
2014_2015,Private,Calgary Early Learning Centre Association,271,Calgary Early Learning Centre,1736,20,,,,,,,,,,,,,20
2014_2015,Private,Calgary Chinese Alliance School Society,164,Calgary Chinese Alliance School,5001,,,,,,,,,,,,1,,1
2014_2015,Private,Calgary Quest Children's Society,9795,Calgary Quest School,5398,9,8,4,9,9,8,11,18,15,13,19,20,17,160
2014_2015,Private,The Calgary Society for Effective Education of Learning Disabled,9131,Calgary Academy,9908,,,4,7,27,35,51,39,57,42,61,50,66,439
2014_2015,Private,The Calgary Jewish Academy,9633,Calgary Jewish Academy,9911,31,27,29,15,14,20,20,9,11,12,,,,188
2014_2015,Private,Centro Linguistico E Culturale Italiano Calgary,9076,Italian School of Calgary,9926,,,,,,,,,1,,,,,1
2014_2015,Private,Calgary Waldorf School Society,9224,Calgary Waldorf School,9949,28,46,26,27,26,25,26,18,13,19,,,,254
2014_2015,Private,Hellenic Society of Calgary and District,9278,Greek Community School,9957,,,,,,,,,,,1,,,1
2014_2015,Private,Swedish Society of Calgary,9279,Swedish Language School,9958,,,,,,,,,,1,,,,1
2014_2015,Private,The Calgary Chinese Public School Society,9296,Calgary Chinese Private School,9963,,,,,,,,,,,1,,4,5
2014_2015,Private,Muslim Community Foundation of Calgary,9337,Calgary Islamic Private School,9969,84,86,89,85,81,75,75,69,64,69,39,35,13,864
2014_2015,Private,The Canadian Reformed School Society of Calgary,9938,Tyndale Christian School,9984,3,8,5,11,9,5,2,9,11,5,5,4,7,84
2015_2016,Public,Calgary School District No. 19,3030,Midsun School,348,,,,,,,,262,269,276,,,,807
2015_2016,Public,Calgary School District No. 19,3030,The Hamptons School,387,38,53,34,50,43,,,,,,,,,218
2015_2016,Public,Calgary School District No. 19,3030,Hidden Valley School,535,112,127,119,126,,,,,,,,,,484
2015_2016,Public,Calgary School District No. 19,3030,Crossing Park School,536,110,111,114,109,114,110,120,109,112,111,,,,1120
2015_2016,Public,Calgary School District No. 19,3030,Battalion Park School,537,98,107,118,103,97,91,85,,,,,,,699
2015_2016,Public,Calgary School District No. 19,3030,Monterey Park School,538,69,84,81,71,84,97,80,,,,,,,566
2015_2016,Public,Calgary School District No. 19,3030,Douglasdale School,596,75,110,60,91,65,1,,,,,,,,402
2015_2016,Public,Calgary School District No. 19,3030,Scenic Acres School,597,27,25,43,26,18,,,,,,,,,139
2015_2016,Public,Calgary School District No. 19,3030,Coventry Hills School,1038,153,151,164,156,,,,,,,,,,624
2015_2016,Public,Calgary School District No. 19,3030,Colonel Sanders School,1053,,50,104,101,104,,,,,,,,,359
2015_2016,Public,Calgary School District No. 19,3030,Piitoayis Family School,1054,22,25,24,17,28,17,20,,,,,,,153
2015_2016,Public,Calgary School District No. 19,3030,CBe - Learn,1064,,,,,,,,14,38,45,242,646,1298,2283
2015_2016,Public,Calgary School District No. 19,3030,Valley Creek School,1098,,,,,110,110,122,139,111,131,,,,723
2015_2016,Public,Calgary School District No. 19,3030,Somerset School,1099,57,68,68,74,65,,,,,,,,,332
2015_2016,Public,Calgary School District No. 19,3030,Juno Beach Academy of Canadian Studies,1125,,,,,,,,,9,15,10,7,7,48
2015_2016,Public,Calgary School District No. 19,3030,Discovering Choices 2,1161,,,,,,,,,,,5,43,353,401
2015_2016,Public,Calgary School District No. 19,3030,Centennial High School,1224,,,,,,,,,,,558,585,598,1741
2015_2016,Public,Calgary School District No. 19,3030,Start Outreach,1232,,,,,,,,,,,6,29,158,193
2015_2016,Public,Calgary School District No. 19,3030,Westbrook Outreach,1260,,,,,,,,,,,7,19,213,239
2015_2016,Public,Calgary School District No. 19,3030,Arbour Lake Middle School,1330,,,,,,131,170,187,218,203,,,,909
2015_2016,Public,Calgary School District No. 19,3030,Chaparral School,1331,67,70,99,100,64,100,71,,,,,,,571
2015_2016,Public,Calgary School District No. 19,3030,Citadel Park School,1332,86,80,88,98,103,,,,,,,,,455
2015_2016,Public,Calgary School District No. 19,3030,Mountain Park School,1333,,,,,,158,151,159,186,179,,,,833
2015_2016,Public,Calgary School District No. 19,3030,Radisson Park School,1334,61,52,46,59,46,47,,,,,,,,311
2015_2016,Public,Calgary School District No. 19,3030,Tuscany School,1335,153,152,181,180,,,,,,,,,,666
2015_2016,Public,Calgary School District No. 19,3030,Taradale School,1450,141,137,140,133,135,,,,,,,,,686
2015_2016,Public,Calgary School District No. 19,3030,Samuel W. Shaw School,1451,,,,,,120,119,195,170,203,,,,807
2015_2016,Public,Calgary School District No. 19,3030,Panorama Hills School,1452,152,155,158,166,,,,,,,,,,631
2015_2016,Public,Calgary School District No. 19,3030,McKenzie Towne School,1463,125,148,121,137,104,,,,,,,,,635
2015_2016,Public,Calgary School District No. 19,3030,Bridlewood School,1498,81,89,87,93,82,99,72,,,,,,,603
2015_2016,Public,Calgary School District No. 19,3030,Cranston School,1499,119,146,148,145,111,,,,,,,,,669
2015_2016,Public,Calgary School District No. 19,3030,Evergreen School,1500,128,121,133,125,101,,,,,,,,,608
2015_2016,Public,Calgary School District No. 19,3030,Royal Oak School,1519,109,108,104,107,114,,,,,,,,,542
2015_2016,Public,Calgary School District No. 19,3030,Saddle Ridge School,1520,224,186,190,168,,,,,,,,,,768
2015_2016,Public,Calgary School District No. 19,3030,West Springs School,1521,79,99,112,106,76,75,49,,,,,,,596
2015_2016,Public,Calgary School District No. 19,3030,All Boys Alternative Program,1579,11,25,25,45,19,16,16,,,,,,,157
2015_2016,Public,Calgary School District No. 19,3030,Nose Creek School,1674,,,,,136,139,141,135,112,124,,,,787
2015_2016,Public,Calgary School District No. 19,3030,Captain Nichola Goddard School,1676,,,,,189,144,169,164,137,133,,,,936
2015_2016,Public,Calgary School District No. 19,3030,Ted Harrison School,1677,,,,,,156,149,140,159,138,,,,742
2015_2016,Public,Calgary School District No. 19,3030,Twelve Mile Coulee School,1678,,,,,170,176,155,174,137,131,,,,943
2015_2016,Public,Calgary School District No. 19,3030,Robert Thirsk School,1679,,,,,,,,,,,419,411,463,1293
2015_2016,Public,Calgary School District No. 19,3030,Children's Village School,9014,4,11,4,12,7,11,9,,,,,,,58
2015_2016,Public,Calgary School District No. 19,3030,William Roper Hull School,9033,,2,2,4,3,6,6,9,17,12,7,15,2,85
2015_2016,Public,Calgary School District No. 19,3030,Wood's Homes School,9035,,,,1,,2,,4,3,16,9,11,5,51
2015_2016,Public,Calgary School District No. 19,3030,Emily Follensbee School,9036,8,8,17,6,14,11,10,4,7,,,,,85
2015_2016,Public,Calgary School District No. 19,3030,Christine Meikle School,9037,,,,,,,,1,6,11,7,18,32,75
2015_2016,Public,Calgary School District No. 19,3030,Richmond School,9100,31,30,34,26,18,30,25,,,,,,,194
2015_2016,Public,Calgary School District No. 19,3030,Alex Ferguson School,9101,32,41,40,35,29,45,31,,,,,,,253
2015_2016,Public,Calgary School District No. 19,3030,Jennie Elliott School,9103,82,126,98,96,61,57,52,,,,,,,572
2015_2016,Public,Calgary School District No. 19,3030,Killarney School,9104,69,75,65,49,34,31,27,,,,,,,350
2015_2016,Public,Calgary School District No. 19,3030,Altadore School,9109,50,50,50,49,53,42,37,,,,,,,331
2015_2016,Public,Calgary School District No. 19,3030,Belvedere Parkway School,9110,45,53,54,35,48,44,49,,,,,,,328
2015_2016,Public,Calgary School District No. 19,3030,Bowcroft School,9111,42,42,41,31,31,24,15,,,,,,,226
2015_2016,Public,Calgary School District No. 19,3030,Connaught School,9114,84,56,55,38,32,29,27,,,,,,,321
2015_2016,Public,Calgary School District No. 19,3030,Earl Grey School,9118,17,36,34,32,30,33,30,,,,,,,212
2015_2016,Public,Calgary School District No. 19,3030,Elbow Park School,9119,15,30,15,36,11,35,16,,,,,,,158
